RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
68 (72),Kolkata Knight Riders,IPL,"£2,951,667 (£56,763)","$3,837,167 ($73,792)"
69 (61),Delhi Daredevils,IPL,"£2,938,214 (£56,504)","$3,819,679 ($73,455)"
70 (90),West Ham,EPL,"£2,936,870 (£56,478)","$3,817,930 ($73,422)"
71 (70),Washington capitals,NHL,"£2,823,328 (£54,295)","$3,670,326 ($70,583)"
72 (101),Everton,EPL,"£2,806,207 (£53,966)","$3,648,069 ($70,155)"
73 (65),Pittsburgh Pirates,MLB,"£2,799,936 (£53,845)","$3,639,917 ($69,998)"
74 (111),Borussia Dortmund,Bundesliga,"£2,739,148 (£52,676)","$3,560,893 ($68,479)"
75 (58),Minnesota Twins,MLB,"£2,673,408 (£51,412)","$3,475,431 ($66,835)"
76 (92),New York Islanders,NHL,"£2,667,475 (£51,298)","$3,467,717 ($66,687)"
77 (87),Boston Bruins,NHL,"£2,650,000 (£50,962)","$3,445,000 ($66,250)"
78 (112),Dallas Stars,NHL,"£2,639,538 (£50,760)","$3,431,399 ($65,988)"
79 (77),Internazionale,Serie A,"£2,637,754 (£50,726)","$3,429,080 ($65,944)"
80 (85),Detroit Red Wings,NHL,"£2,609,779 (£50,188)","$3,392,713 ($65,244)"
81 (78),chicago Blackhawks,NHL,"£2,598,913 (£49,979)","$3,378,587 ($64,973)"
82 (62),Roma,Serie A,"£2,598,580 (£49,973)","$3,378,154 ($64,965)"
83 (73),Pittsburgh Penguins,NHL,"£2,596,916 (£49,941)","$3,375,991 ($64,923)"
84 (104),Philadelphia Phillies,MLB,"£2,586,343 (£49,737)","$3,362,245 ($64,659)"
85 (81),Minnesota Wild,NHL,"£2,575,753 (£49,534)","$3,348,478 ($64,394)"
86 (83),St Louis Blues,NHL,"£2,559,030 (£49,212)","$3,326,739 ($63,976)"
87 (67),Los Angeles Kings,NHL,"£2,529,013 (£48,635)","$3,287,717 ($63,225)"
88 (79),New York Rangers,NHL,"£2,516,137 (£48,387)","$3,270,978 ($62,903)"
89 (105),Leicester,EPL,"£2,499,120 (£48,060)","$3,248,856 ($62,478)"
90 (94),Vancouver canucks,NHL,"£2,492,893 (£47,940)","$3,240,761 ($62,322)"
91 (75),Arizona Diamondbacks,MLB,"£2,492,596 (£47,935)","$3,240,375 ($62,315)"
92 (74),Montreal canadiens,NHL,"£2,488,040 (£47,847)","$3,234,452 ($62,201)"
93 (84),calgary Flames,NHL,"£2,451,923 (£47,152)","$3,187,500 ($61,298)"
94 (69),colorado Rockies,MLB,"£2,440,230 (£46,928)","$3,172,299 ($61,006)"
95 (76),San Jose Sharks,NHL,"£2,434,866 (£46,824)","$3,165,326 ($60,872)"
96 (144),Valencia,La Liga,"£2,429,818 (£46,727)","$3,158,764 ($60,745)"
97 (88),Tampa Bay Lightning,NHL,"£2,421,990 (£46,577)","$3,148,587 ($60,550)"
98 (137),Toronto Maple Leafs,NHL,"£2,418,701 (£46,513)","$3,144,312 ($60,468)"
99 (120),Napoli,Serie A,"£2,414,867 (£46,440)","$3,139,327 ($60,372)"
100 (93),Anaheim Ducks,NHL,"£2,400,744 (£46,168)","$3,120,967 ($60,019)"
101 (91),Buffalo Sabres,NHL,"£2,398,227 (£46,120)","$3,117,696 ($59,956)"
102 (86),Nashville Predators,NHL,"£2,375,418 (£45,681)","$3,088,043 ($59,385)"
103 (89),Philadelphia Flyers,NHL,"£2,370,903 (£45,594)","$3,082,174 ($59,273)"
104 (154),Sevilla,La Liga,"£2,343,490 (£45,067)","$3,046,537 ($58,587)"
105 (115),Florida Panthers,NHL,"£2,334,833 (£44,901)","$3,035,283 ($58,371)"
106 (95),Ottawa Senators,NHL,"£2,334,448 (£44,893)","$3,034,783 ($58,361)"
RANK,TEAM,LEAGUE,AVG ANNUAL PAY £,AVG ANNUAL PAY $
"(LAST YEAR)",,,(AVG WEEKLY PAY),(AVG WEEKLY PAY)
107 (80),Gujarat Lions,IPL,"£2,332,203 (£44,850)","$3,031,863 ($58,305)"
108 (100),Oakland Raiders,NFL,"£2,297,689 (£44,186)","$2,986,996 ($57,442)"
109 (138),Atlanta Falcons,NFL,"£2,288,342 (£44,007)","$2,974,845 ($57,209)"
110 (109),Southampton,EPL,"£2,271,286 (£43,679)","$2,952,671 ($56,782)"
111 (130),WashingtonRedskins,NFL,"£2,261,432 (£43,489)","$2,939,861 ($56,536)"
112 (141),carolina Panthers,NFL,"£2,256,303 (£43,390)","$2,933,194 ($56,408)"
113 (121),New York Giants,NFL,"£2,254,297 (£43,352)","$2,930,586 ($56,357)"
114 (118),crystal Palace,EPL,"£2,250,857 (£43,286)","$2,926,114 ($56,271)"
115 (103),Arizona cardinals,NFL,"£2,240,698 (£43,090)","$2,912,908 ($56,017)"
116 (119),Seattle Seahawks,NFL,"£2,230,023 (£42,885)","$2,899,031 ($55,751)"
117 (110),Jacksonville Jaguars,NFL,"£2,226,583 (£42,819)","$2,894,558 ($55,665)"
118 (146),Kansas city chiefs,NFL,"£2,226,583 (£42,819)","$2,894,558 ($55,665)"
119 (135),West Brom,EPL,"£2,221,304 (£42,717)","$2,887,696 ($55,533)"
120 (124),Winnipeg Jets,NHL,"£2,207,871 (£42,459)","$2,870,232 ($55,197)"
121 (128),Pittsburgh Steelers,NFL,"£2,206,011 (£42,423)","$2,867,815 ($55,150)"
122 (129),Tennessee Titans,NFL,"£2,185,950 (£42,038)","$2,841,735 ($54,649)"
123 (99),Green Bay Packers,NFL,"£2,177,713 (£41,879)","$2,831,027 ($54,443)"
124 (116),Houston Texans,NFL,"£2,177,713 (£41,879)","$2,831,027 ($54,443)"
125 (-),Vegas Golden Knights,NHL,"£2,163,907 (£41,614)","$2,813,080 ($54,098)"
126 (82),Kings XI Punjab,IPL,"£2,158,155 (£41,503)","$2,805,601 ($53,954)"
127 (134),Denver Broncos,NFL,"£2,146,444 (£41,278)","$2,790,377 ($53,661)"
128 (117),Edmonton Oilers,NHL,"£2,143,227 (£41,216)","$2,786,196 ($53,581)"
129 (133),Los Angeles Rams,NFL,"£2,132,283 (£41,005)","$2,771,968 ($53,307)"
130 (152),New Jersey Devils,NHL,"£2,128,512 (£40,933)","$2,767,065 ($53,213)"
131 (139),Philadelphia Eagles,NFL,"£2,112,022 (£40,616)","$2,745,628 ($52,801)"
132 (148),chicago Bears,NFL,"£2,090,873 (£40,209)","$2,718,135 ($52,272)"
133 (98),colorado Avalanche,NHL,"£2,071,739 (£39,841)","$2,693,261 ($51,793)"
134 (159),Monaco,Ligue 1,"£2,067,929 (£39,768)","$2,688,307 ($51,698)"
135 (156),New England Patriots,NFL,"£2,067,829 (£39,766)","$2,688,177 ($51,696)"
136 (127),Stoke,EPL,"£2,064,400 (£39,700)","$2,683,720 ($51,610)"
137 (140),Detroit Lions,NFL,"£2,060,116 (£39,618)","$2,678,150 ($51,503)"
138 (114),Tampa Bay Bucs,NFL,"£2,053,874 (£39,498)","$2,670,036 ($51,347)"
139 (102),columbus Blue Jackets,NHL,"£2,051,839 (£39,458)","$2,667,391 ($51,296)"
140 (96),cincinnati Reds,MLB,"£2,044,064 (£39,309)","$2,657,283 ($51,102)"
141 (106),cincinnati Bengals,NFL,"£2,036,583 (£39,165)","$2,647,558 ($50,915)"
142 (155),Buffalo Bills,NFL,"£2,027,868 (£38,997)","$2,636,228 ($50,697)"
143 (143),Los Angeles chargers,NFL,"£1,996,637 (£38,397)","$2,595,629 ($49,916)"
144 (113),Dallas cowboys,NFL,"£1,989,289 (£38,256)","$2,586,075 ($49,732)"
145 (122),Minnesota Vikings,NFL,"£1,977,773 (£38,034)","$2,571,105 ($49,444)"
146 (123),Indianapolis colts,NFL,"£1,971,297 (£37,910)","$2,562,686 ($49,282)"
147 (136),Baltimore Ravens,NFL,"£1,954,576 (£37,588)","$2,540,949 ($48,864)"
148 (164),New Orleans Saints,NFL,"£1,945,983 (£37,423)","$2,529,778 ($48,650)"
149 (153),carolina Hurricanes,NHL,"£1,923,161 (£36,984)","$2,500,109 ($48,079)"
150 (126),Miami Dolphins,NFL,"£1,893,727 (£36,418)","$2,461,845 ($47,343)"
151 (161),Shanghai SIPG,cSL,"£1,853,942 (£35,653)","$2,410,125 ($46,349)"
152 (97),Oakland Athletics,MLB,"£1,810,299 (£34,813)","$2,353,389 ($45,257)"
153 (150),Milwaukee Brewers,MLB,"£1,805,328 (£34,718)","$2,346,927 ($45,133)"
154 (147),Arizona coyotes,NHL,"£1,805,181 (£34,715)","$2,346,735 ($45,130)"
155 (149),Wolfsburg,Bundesliga,"£1,778,261 (£34,197)","$2,311,740 ($44,457)"
